"date","sales_qty"
2008-01-01,14
2008-01-02,2
2008-01-03,10
2008-01-04,9
2008-01-05,18
2008-01-06,14
2008-01-07,16
2008-01-08,9
2008-01-09,4
2008-01-10,7
2008-01-11,5
2008-01-12,8
2008-01-13,9
2008-01-14,8
2008-01-15,5
2008-01-16,8
2008-01-17,3
2008-01-18,10
2008-01-19,5
2008-01-20,2
2008-01-21,7
2008-01-22,8
2008-01-23,13
2008-01-24,18
2008-01-25,24
2008-01-26,26
2008-01-27,18
2008-01-28,11
2008-01-29,10
2008-01-30,7
2008-01-31,12
2008-02-01,14
2008-02-02,12
2008-02-03,15
2008-02-04,13
2008-02-05,9
2008-02-06,10
2008-02-07,6
2008-02-08,9
2008-02-09,12
2008-02-10,10
2008-02-11,2
2008-02-12,3
2008-02-13,4
2008-02-14,3
2008-02-15,2
2008-02-16,22
2008-02-17,9
2008-02-18,6
2008-02-19,13
2008-02-20,15
2008-02-21,14
2008-02-22,17
2008-02-23,27
2008-02-24,27
2008-02-25,17
2008-02-26,8
2008-02-27,8
2008-02-28,3
2008-02-29,15
2008-03-01,15
2008-03-02,16
2008-03-03,6
2008-03-04,13
2008-03-05,11
2008-03-06,10
2008-03-07,34
2008-03-08,15
2008-03-09,18
2008-03-10,9
2008-03-11,5
2008-03-12,10
2008-03-13,5
2008-03-14,11
2008-03-15,20
2008-03-16,13
2008-03-17,9
2008-03-18,12
2008-03-19,10
2008-03-20,16
2008-03-21,6
2008-03-22,22
2008-03-23,9
2008-03-24,1
2008-03-25,5
2008-03-26,7
2008-03-27,4
2008-03-28,1
2008-03-29,0
2008-03-30,3
2008-03-31,2
2008-04-01,6
2008-04-02,6
2008-04-03,3
2008-04-04,0
2008-04-05,6
2008-04-06,3
2008-04-07,0
2008-04-08,1
2008-04-09,8
2008-04-10,13
2008-04-11,26
2008-04-12,38
2008-04-13,41
2008-04-14,15
2008-04-15,19
2008-04-16,13
2008-04-17,17
2008-04-18,14
2008-04-19,18
2008-04-20,23
2008-04-21,10
2008-04-22,12
2008-04-23,12
2008-04-24,5
2008-04-25,8
2008-04-26,19
2008-04-27,26
2008-04-28,21
2008-04-29,16
2008-04-30,23
2008-05-01,39
2008-05-02,17
2008-05-03,21
2008-05-04,21
2008-05-05,14
2008-05-06,14
2008-05-07,14
2008-05-08,18
2008-05-09,16
2008-05-10,23
2008-05-11,17
2008-05-12,4
2008-05-13,14
2008-05-14,8
2008-05-15,9
2008-05-16,12
2008-05-17,19
2008-05-18,16
2008-05-19,11
2008-05-20,15
2008-05-21,18
2008-05-22,10
2008-05-23,10
2008-05-24,12
2008-05-25,10
2008-05-26,34
2008-05-27,42
2008-05-28,42
2008-05-29,39
2008-05-30,46
2008-05-31,74
2008-06-01,61
2008-06-02,24
2008-06-03,26
2008-06-04,16
2008-06-05,37
2008-06-06,34
2008-06-07,66
2008-06-08,57
2008-06-09,8
2008-06-10,10
2008-06-11,11
2008-06-12,10
2008-06-13,12
2008-06-14,14
2008-06-15,22
2008-06-16,9
2008-06-17,12
2008-06-18,9
2008-06-19,11
2008-06-20,11
2008-06-21,21
2008-06-22,16
2008-06-23,8
2008-06-24,9
2008-06-25,9
2008-06-26,8
2008-06-27,14
2008-06-28,15
2008-06-29,13
2008-06-30,14
2008-07-01,14
2008-07-02,9
2008-07-03,4
2008-07-04,16
2008-07-05,18
2008-07-06,17
2008-07-07,12
2008-07-08,27
2008-07-09,16
2008-07-10,13
2008-07-11,13
2008-07-12,18
2008-07-13,22
2008-07-14,9
2008-07-15,41
2008-07-16,11
2008-07-17,11
2008-07-18,12
2008-07-19,15
2008-07-20,19
2008-07-21,11
2008-07-22,15
2008-07-23,16
2008-07-24,16
2008-07-25,8
2008-07-26,15
2008-07-27,30
2008-07-28,5
2008-07-29,12
2008-07-30,13
2008-07-31,9
2008-08-01,3
2008-08-02,10
2008-08-03,12
2008-08-04,11
2008-08-05,10
2008-08-06,16
2008-08-07,13
2008-08-08,19
2008-08-09,32
2008-08-10,36
2008-08-11,12
2008-08-12,11
2008-08-13,16
2008-08-14,18
2008-08-15,23
2008-08-16,20
2008-08-17,21
2008-08-18,17
2008-08-19,19
2008-08-20,7
2008-08-21,25
2008-08-22,20
2008-08-23,18
2008-08-24,9
2008-08-25,15
2008-08-26,20
2008-08-27,17
2008-08-28,17
2008-08-29,19
2008-08-30,18
2008-08-31,24
2008-09-01,8
2008-09-02,10
2008-09-03,13
2008-09-04,4
2008-09-05,7
2008-09-06,20
2008-09-07,24
2008-09-08,9
2008-09-09,13
2008-09-10,15
2008-09-11,18
2008-09-12,13
2008-09-13,31
2008-09-14,26
2008-09-15,25
2008-09-16,22
2008-09-17,23
2008-09-18,25
2008-09-19,36
2008-09-20,43
2008-09-21,51
2008-09-22,19
2008-09-23,17
2008-09-24,12
2008-09-25,16
2008-09-26,21
2008-09-27,20
2008-09-28,24
2008-09-29,23
2008-09-30,11
2008-10-01,10
2008-10-02,10
2008-10-03,21
2008-10-04,14
2008-10-05,18
2008-10-06,12
2008-10-07,14
2008-10-08,19
2008-10-09,15
2008-10-10,12
2008-10-11,24
2008-10-12,20
2008-10-13,11
2008-10-14,15
2008-10-15,13
2008-10-16,6
2008-10-17,21
2008-10-18,27
2008-10-19,28
2008-10-20,15
2008-10-21,10
2008-10-22,7
2008-10-23,12
2008-10-24,19
2008-10-25,18
2008-10-26,29
2008-10-27,13
2008-10-28,17
2008-10-29,16
2008-10-30,8
2008-10-31,16
2008-11-01,19
2008-11-02,25
2008-11-03,30
2008-11-04,46
2008-11-05,32
2008-11-06,27
2008-11-07,30
2008-11-08,39
2008-11-09,37
2008-11-10,13
2008-11-11,14
2008-11-12,18
2008-11-13,15
2008-11-14,18
2008-11-15,34
2008-11-16,28
2008-11-17,5
2008-11-18,7
2008-11-19,9
2008-11-20,9
2008-11-21,10
2008-11-22,13
2008-11-23,18
2008-11-24,6
2008-11-25,7
2008-11-26,5
2008-11-27,10
2008-11-28,12
2008-11-29,12
2008-11-30,17
2008-12-01,12
2008-12-02,8
2008-12-03,5
2008-12-04,3
2008-12-05,9
2008-12-06,8
2008-12-07,6
2008-12-08,8
2008-12-09,7
