"date","sales_qty"
2014-07-01,7
2014-07-02,14
2014-07-03,16
2014-07-04,22
2014-07-05,16
2014-07-06,10
2014-07-07,14
2014-07-08,16
2014-07-09,15
2014-07-10,16
2014-07-11,17
2014-07-12,8
2014-07-13,22
2014-07-14,31
2014-07-15,17
2014-07-16,19
2014-07-17,10
2014-07-18,16
2014-07-19,24
2014-07-20,33
2014-07-21,12
2014-07-22,16
2014-07-23,14
2014-07-24,19
2014-07-25,24
2014-07-26,36
2014-07-27,23
2014-07-28,13
2014-07-29,22
2014-07-30,15
2014-07-31,18
2014-08-01,26
2014-08-02,20
2014-08-03,22
2014-08-04,19
2014-08-05,21
2014-08-06,24
2014-08-07,7
2014-08-08,13
2014-08-09,30
2014-08-10,36
2014-08-11,13
2014-08-12,16
2014-08-13,14
2014-08-14,14
2014-08-15,12
2014-08-16,31
2014-08-17,44
2014-08-18,10
2014-08-19,10
2014-08-20,18
2014-08-21,17
2014-08-22,17
2014-08-23,34
2014-08-24,32
2014-08-25,25
2014-08-26,16
2014-08-27,11
2014-08-28,13
2014-08-29,15
2014-08-30,34
2014-08-31,27
2014-09-01,11
2014-09-02,13
2014-09-03,11
2014-09-04,20
2014-09-05,19
2014-09-06,27
2014-09-07,30
2014-09-08,56
2014-09-09,16
2014-09-10,13
2014-09-11,11
2014-09-12,16
2014-09-13,15
2014-09-14,28
2014-09-15,10
2014-09-16,9
2014-09-17,8
2014-09-18,9
2014-09-19,11
2014-09-20,19
2014-09-21,14
2014-09-22,8
2014-09-23,9
2014-09-24,6
2014-09-25,7
2014-09-26,11
2014-09-27,13
2014-09-28,10
2014-09-29,8
2014-09-30,6
2014-10-01,2
2014-10-02,11
2014-10-03,13
2014-10-04,37
2014-10-05,25
2014-10-06,11
2014-10-07,9
2014-10-08,9
2014-10-09,8
2014-10-10,17
2014-10-11,26
2014-10-12,20
2014-10-13,10
2014-10-14,5
2014-10-15,9
2014-10-16,10
2014-10-17,11
2014-10-18,17
2014-10-19,24
2014-10-20,7
2014-10-21,18
2014-10-22,7
2014-10-23,5
2014-10-24,19
2014-10-25,33
2014-10-26,27
2014-10-27,7
2014-10-28,14
2014-10-29,13
2014-10-30,17
2014-10-31,18
2014-11-01,27
2014-11-02,31
2014-11-03,8
2014-11-04,11
2014-11-05,10
2014-11-06,11
2014-11-07,15
2014-11-08,14
2014-11-09,27
2014-11-10,12
2014-11-11,12
2014-11-12,10
2014-11-13,13
2014-11-14,12
2014-11-15,18
2014-11-16,19
2014-11-17,11
2014-11-18,11
2014-11-19,16
2014-11-20,12
2014-11-21,14
2014-11-22,22
2014-11-23,17
2014-11-24,9
2014-11-25,9
2014-11-26,13
2014-11-27,5
2014-11-28,14
2014-11-29,26
2014-11-30,16
2014-12-01,9
2014-12-02,15
2014-12-03,7
2014-12-04,10
2014-12-05,13
2014-12-06,23
2014-12-07,17
2014-12-08,48
2014-12-09,13
2014-12-10,8
2014-12-11,14
2014-12-12,14
2014-12-13,33
2014-12-14,18
2014-12-15,17
2014-12-16,8
2014-12-17,11
2014-12-18,11
2014-12-19,17
2014-12-20,21
2014-12-21,28
2014-12-22,17
2014-12-23,16
2014-12-24,16
2014-12-25,21
2014-12-26,14
2014-12-27,14
2014-12-28,14
2014-12-29,15
2014-12-30,21
2014-12-31,14
2015-01-01,19
2015-01-02,21
2015-01-03,12
2015-01-04,13
2015-01-05,4
2015-01-06,8
2015-01-07,16
2015-01-08,10
2015-01-09,11
2015-01-10,13
2015-01-11,17
2015-01-12,11
2015-01-13,10
2015-01-14,4
2015-01-15,6
2015-01-16,10
2015-01-17,19
2015-01-18,14
2015-01-19,12
2015-01-20,3
2015-01-21,5
2015-01-22,10
2015-01-23,6
2015-01-24,17
2015-01-25,20
2015-01-26,9
2015-01-27,9
2015-01-28,7
2015-01-29,12
2015-01-30,11
2015-01-31,14
2015-02-01,24
2015-02-02,9
2015-02-03,9
2015-02-04,5
2015-02-05,5
2015-02-06,13
2015-02-07,20
2015-02-08,21
2015-02-09,7
2015-02-10,19
2015-02-11,8
2015-02-12,10
2015-02-13,10
2015-02-14,15
2015-02-15,17
2015-02-16,9
2015-02-17,14
2015-02-18,8
2015-02-19,22
2015-02-20,12
2015-02-21,9
2015-02-22,20
2015-02-23,9
2015-02-24,11
2015-02-25,9
2015-02-26,15
2015-02-27,14
2015-02-28,25
2015-03-01,23
2015-03-02,15
2015-03-03,7
2015-03-04,17
2015-03-05,14
2015-03-06,11
2015-03-07,16
2015-03-08,17
2015-03-09,7
2015-03-10,3
2015-03-11,7
2015-03-12,12
2015-03-13,26
2015-03-14,20
2015-03-15,22
2015-03-16,44
2015-03-17,8
2015-03-18,11
2015-03-19,9
2015-03-20,12
2015-03-21,21
2015-03-22,18
2015-03-23,3
2015-03-24,10
2015-03-25,6
2015-03-26,11
2015-03-27,9
2015-03-28,17
2015-03-29,15
2015-03-30,8
2015-03-31,8
2015-04-01,13
2015-04-02,11
2015-04-03,23
2015-04-04,16
2015-04-05,19
2015-04-06,4
2015-04-07,12
2015-04-08,10
2015-04-09,7
2015-04-10,14
2015-04-11,17
2015-04-12,26
2015-04-13,6
2015-04-14,11
2015-04-15,11
2015-04-16,7
2015-04-17,16
2015-04-18,16
2015-04-19,16
2015-04-20,5
2015-04-21,11
2015-04-22,13
2015-04-23,7
2015-04-24,13
2015-04-25,17
2015-04-26,21
2015-04-27,6
2015-04-28,10
2015-04-29,10
2015-04-30,15
2015-05-01,24
2015-05-02,22
2015-05-03,13
2015-05-04,8
2015-05-05,8
2015-05-06,12
2015-05-07,23
2015-05-08,17
2015-05-09,14
2015-05-10,17
2015-05-11,19
2015-05-12,10
2015-05-13,6
2015-05-14,13
2015-05-15,18
2015-05-16,19
2015-05-17,20
2015-05-18,7
2015-05-19,12
2015-05-20,6
2015-05-21,13
2015-05-22,19
2015-05-23,15
2015-05-24,24
2015-05-25,11
2015-05-26,12
2015-05-27,16
2015-05-28,11
2015-05-29,14
2015-05-30,17
2015-05-31,21
2015-06-01,13
2015-06-02,24
2015-06-03,6
2015-06-04,20
2015-06-05,14
2015-06-06,20
2015-06-07,13
2015-06-08,12
2015-06-09,18
2015-06-10,19
2015-06-11,7
2015-06-12,14
2015-06-13,17
2015-06-14,17
2015-06-15,52
2015-06-16,12
2015-06-17,6
2015-06-18,13
2015-06-19,16
2015-06-20,18
2015-06-21,17
2015-06-22,15
2015-06-23,15
2015-06-24,13
2015-06-25,12
2015-06-26,19
2015-06-27,25
2015-06-28,22
2015-06-29,13
2015-06-30,14
2015-07-01,20
2015-07-02,9
2015-07-03,27
2015-07-04,33
2015-07-05,27
2015-07-06,8
2015-07-07,9
2015-07-08,14
2015-07-09,14
2015-07-10,20
2015-07-11,27
2015-07-12,29
2015-07-13,17
2015-07-14,10
2015-07-15,19
2015-07-16,21
2015-07-17,11
2015-07-18,12
2015-07-19,19
2015-07-20,22
2015-07-21,21
2015-07-22,12
2015-07-23,9
2015-07-24,13
2015-07-25,15
2015-07-26,19
2015-07-27,8
2015-07-28,17
2015-07-29,19
2015-07-30,19
2015-07-31,19
2015-08-01,22
2015-08-02,34
2015-08-03,14
2015-08-04,12
2015-08-05,12
2015-08-06,13
2015-08-07,8
2015-08-08,22
2015-08-09,27
2015-08-10,16
2015-08-11,18
2015-08-12,8
2015-08-13,18
2015-08-14,25
2015-08-15,33
2015-08-16,44
2015-08-17,31
2015-08-18,25
2015-08-19,19
2015-08-20,8
2015-08-21,9
2015-08-22,24
2015-08-23,18
2015-08-24,7
2015-08-25,17
2015-08-26,12
2015-08-27,16
2015-08-28,8
2015-08-29,25
2015-08-30,19
2015-08-31,14
2015-09-01,9
2015-09-02,16
2015-09-03,18
2015-09-04,23
2015-09-05,35
2015-09-06,24
2015-09-07,11
2015-09-08,14
2015-09-09,12
2015-09-10,12
2015-09-11,17
2015-09-12,26
2015-09-13,28
2015-09-14,54
2015-09-15,18
2015-09-16,12
2015-09-17,5
2015-09-18,19
2015-09-19,20
2015-09-20,17
2015-09-21,10
2015-09-22,18
2015-09-23,21
2015-09-24,28
2015-09-25,27
2015-09-26,37
2015-09-27,27
2015-09-28,6
2015-09-29,17
2015-09-30,12
2015-10-01,17
2015-10-02,9
2015-10-03,24
2015-10-04,22
2015-10-05,17
2015-10-06,26
2015-10-07,13
2015-10-08,13
2015-10-09,13
2015-10-10,22
2015-10-11,23
2015-10-12,13
2015-10-13,10
2015-10-14,17
2015-10-15,14
2015-10-16,25
2015-10-17,12
2015-10-18,18
2015-10-19,11
2015-10-20,7
2015-10-21,11
2015-10-22,6
2015-10-23,12
2015-10-24,17
2015-10-25,16
2015-10-26,3
2015-10-27,16
2015-10-28,16
2015-10-29,13
2015-10-30,18
2015-10-31,14
2015-11-01,13
2015-11-02,9
2015-11-03,24
2015-11-04,11
2015-11-05,4
2015-11-06,17
2015-11-07,15
2015-11-08,15
2015-11-09,10
2015-11-10,14
2015-11-11,6
2015-11-12,4
2015-11-13,6
2015-11-14,15
2015-11-15,17
2015-11-16,15
2015-11-17,8
2015-11-18,8
2015-11-19,10
2015-11-20,11
2015-11-21,19
2015-11-22,15
2015-11-23,8
2015-11-24,7
2015-11-25,10
2015-11-26,6
2015-11-27,14
2015-11-28,16
2015-11-29,12
2015-11-30,4
2015-12-01,8
2015-12-02,12
2015-12-03,6
2015-12-04,7
2015-12-05,23
2015-12-06,11
2015-12-07,7
2015-12-08,14
2015-12-09,32
2015-12-10,6
2015-12-11,11
2015-12-12,15
2015-12-13,20
2015-12-14,53
2015-12-15,17
2015-12-16,14
2015-12-17,9
2015-12-18,11
2015-12-19,28
2015-12-20,17
2015-12-21,9
2015-12-22,11
2015-12-23,16
2015-12-24,21
2015-12-25,23
2015-12-26,11
2015-12-27,20
2015-12-28,14
2015-12-29,16
2015-12-30,14
2015-12-31,18
2016-01-01,35
2016-01-02,14
2016-01-03,29
2016-01-04,15
2016-01-05,13
2016-01-06,10
2016-01-07,9
2016-01-08,11
2016-01-09,21
2016-01-10,15
2016-01-11,12
2016-01-12,12
2016-01-13,11
2016-01-14,11
2016-01-15,16
2016-01-16,13
2016-01-17,19
2016-01-18,9
2016-01-19,6
2016-01-20,11
2016-01-21,9
2016-01-22,5
2016-01-23,16
2016-01-24,21
2016-01-25,11
2016-01-26,9
2016-01-27,13
2016-01-28,8
2016-01-29,12
2016-01-30,14
2016-01-31,25
2016-02-01,12
2016-02-02,4
2016-02-03,14
2016-02-04,16
2016-02-05,11
2016-02-06,20
2016-02-07,19
2016-02-08,11
2016-02-09,17
2016-02-10,9
2016-02-11,9
2016-02-12,13
2016-02-13,16
2016-02-14,16
2016-02-15,12
2016-02-16,12
2016-02-17,7
2016-02-18,6
2016-02-19,11
2016-02-20,13
2016-02-21,15
2016-02-22,6
2016-02-23,9
2016-02-24,12
2016-02-25,7
2016-02-26,18
2016-02-27,30
2016-02-28,18
2016-02-29,13
2016-03-01,9
2016-03-02,11
2016-03-03,13
2016-03-04,14
2016-03-05,22
2016-03-06,23
2016-03-07,13
2016-03-08,12
2016-03-09,26
2016-03-10,13
2016-03-11,11
2016-03-12,21
2016-03-13,24
2016-03-14,59
2016-03-15,11
2016-03-16,9
2016-03-17,9
2016-03-18,14
2016-03-19,31
2016-03-20,24
2016-03-21,15
2016-03-22,8
2016-03-23,17
2016-03-24,11
2016-03-25,28
2016-03-26,18
2016-03-27,17
2016-03-28,14
2016-03-29,10
2016-03-30,13
2016-03-31,15
2016-04-01,24
2016-04-02,27
2016-04-03,31
2016-04-04,8
2016-04-05,12
2016-04-06,11
2016-04-07,8
2016-04-08,23
2016-04-09,16
2016-04-10,21
2016-04-11,16
2016-04-12,14
2016-04-13,7
2016-04-14,8
2016-04-15,9
2016-04-16,17
2016-04-17,16
2016-04-18,8
2016-04-19,8
2016-04-20,12
2016-04-21,14
2016-04-22,20
2016-04-23,18
2016-04-24,24
2016-04-25,10
2016-04-26,9
2016-04-27,14
2016-04-28,4
2016-04-29,9
2016-04-30,23
2016-05-01,24
2016-05-02,4
2016-05-03,10
2016-05-04,10
2016-05-05,15
2016-05-06,16
2016-05-07,23
2016-05-08,18
2016-05-09,5
2016-05-10,6
2016-05-11,13
2016-05-12,10
2016-05-13,6
2016-05-14,20
2016-05-15,23
2016-05-16,5
2016-05-17,9
2016-05-18,11
2016-05-19,8
2016-05-20,8
2016-05-21,15
2016-05-22,16
2016-05-23,8
2016-05-24,5
2016-05-25,12
2016-05-26,8
2016-05-27,14
2016-05-28,16
2016-05-29,16
2016-05-30,8
2016-05-31,19
2016-06-01,15
2016-06-02,20
2016-06-03,18
2016-06-04,23
2016-06-05,34
2016-06-06,12
2016-06-07,14
2016-06-08,11
2016-06-09,8
2016-06-10,16
2016-06-11,20
2016-06-12,28
2016-06-13,58
2016-06-14,12
2016-06-15,15
2016-06-16,17
2016-06-17,14
2016-06-18,30
2016-06-19,27
2016-06-20,9
2016-06-21,12
2016-06-22,11
2016-06-23,12
2016-06-24,15
2016-06-25,27
2016-06-26,18
2016-06-27,20
2016-06-28,15
2016-06-29,16
2016-06-30,11
